,0,1,2,3
dataset,cam4,spcam,cam4,spcam
model,cam4,cam4,spcam,spcam
test_skill_ave_trunc_PTEQ_08,0.0,0.0,0.0028266457375130003,0.499724835157394
test_skill_ave_trunc_PTEQ_07,0.0,0.0,0.0,0.25807642936706504
test_skill_ave_trunc_PTEQ_06,0.9999944567680351,0.9999967217445371,0.0,0.23468904197216
test_skill_ave_trunc_PTEQ_05,0.9999957084655761,0.9999995827674861,0.0,0.18136756122112202
test_skill_ave_trunc_PTEQ_04,0.999996244907379,1.0,0.0,0.09660930186510001
test_skill_ave_trunc_PTEQ_03,0.9999967217445371,1.0,0.0,0.0
test_skill_ave_trunc_PTEQ_02,0.9999971985816951,1.0,0.0,0.0
test_skill_ave_trunc_PTEQ_01,1,1,0,0
test_skill_ave_trunc_PTEQ_00,1,1,0,0
test_skill_ave_trunc_PTEQ,0.804919362068176,0.394232898950576,0.134677454829216,0.526311874389648
